issue_id,row_id,column_name,issue_type,current_value,suggested_value,confidence,severity,reason,can_auto_fix
5e56c100-ee57-47f9-ad91-1210803caf0c,T00000043,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
18c7d53a-2a7c-4680-8da1-dcc3918f1848,T00000045,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
79b89c2d-b6c6-491a-b3be-b8ffaaccc2b9,T00000055,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
7347d117-bdb4-4f27-9a8f-0260c3b4863f,T00000060,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
f6c15a4f-73f2-47fa-9362-35dcc9891dc6,T00000068,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
4617a4e9-e029-4520-a2ce-4a0120833c60,T00000117,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
9d774c25-d391-4144-bf2a-da4d4db73f50,T00000126,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
0d7eecea-98c4-469f-a310-0df66d42c95e,T00000185,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
2f9bb480-960d-4639-aa2e-722dfeb7ac94,T00000250,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
23b4f879-7137-416b-a676-053387d1c135,T00000297,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
4e4d3ca3-0b19-406d-9f85-75ce86c65dc3,T00000323,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
df76feca-ffab-4ad1-bddd-5be6a0d2a764,T00000426,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
82b997eb-c211-4a1e-8a01-88fbcdc3d961,T00000711,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
b903997f-9945-43b6-b69f-d868acfa5849,T00000718,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
80c78f4e-eb0a-473e-8360-45f9cc61310d,T00000740,domain,missing,,INVESTMENTS,1.0,medium,Required column 'domain' is missing.,True
